StrID,msID,mu.se_A,mu.se_B,mu.se_C,mu_A,mu_B,mu_C,pi.se_A,pi.se_B,pi.se_C,pi_A,pi_B,pi_C,sigma.se_A,sigma.se_B,sigma.se_C,sigma_A,sigma_B,sigma_C,MS.Day,UNIT,ENTRY,MS.Ord,MS.tecRep
Str172,672,0.10184243554799799,0.37560216998594675,0.3445785480369291,3.110190423734566,1.6836956964295589,-0.23816974963719753,0.14790350026553206,0.162002500285386,0.03453468452882689,0.5854963332311487,0.3806545638756604,0.03384910289319086,0.06733721462902727,0.30988978589708,0.24145137420840476,0.40809703123996477,0.7492200682275971,0.31187728696156114,3,195,29,17,1
Str173,673,0.07850437225478639,0.440864297592406,0.36871366448510917,3.0429370808940095,1.735239853906546,-0.20867523463760435,0.12604333443398075,0.1318736748023076,0.03407375358483889,0.685858930071433,0.2776844476730333,0.03645662225553373,0.055638255254990825,0.2998498736218949,0.2605687228062244,0.39838844408186286,0.76012357399216,0.3428163680452499,10,166,100,14,2
Str173,674,0.07869780416543515,0.4412448380393001,0.36865442208497845,3.042996915418559,1.7374086834644815,-0.20831621139975964,0.12634158191611064,0.13206986200919232,0.03409078628662193,0.6854367477212595,0.27796854699315376,0.03659470528558665,0.05575472581717745,0.2991112486030445,0.2605764399472953,0.3986426029320303,0.7600866518324988,0.3433580726172999,10,166,100,14,1
Str174,677,0.11667608311193921,0.33589579995111474,0.30353380619010545,3.0128002430910255,1.7770044573310697,-0.19503077594138968,0.1683419163379555,0.17773472058823025,0.03593234996555079,0.493442193330456,0.4573749575935347,0.04918284907600934,0.07631185340790458,0.23336754518149466,0.21211163213366896,0.39143096208349326,0.7149773718249015,0.3439201764918806,7,187,151,16,1
Str174,678,0.11616982629267654,0.334423982396162,0.3029177662590354,3.0122453355553787,1.7762674901483124,-0.19505592313267303,0.1676363761213072,0.17702878781286596,0.03588093609069525,0.49329670130026926,0.4575052667440303,0.049198031955700425,0.07606058332080312,0.23267259582645863,0.21171216430544007,0.39046970121624186,0.7143914791399011,0.3437467365275134,7,187,151,16,2
Str175,679,0.09937225553697167,0.3717095206958074,0.3308251411320012,3.035173443579531,1.7928315110545734,-0.19126143805185802,0.15364426998290096,0.16030144318304174,0.034486415003970636,0.5735986507365417,0.3829774213583404,0.04342392790511792,0.067204033286522,0.24672006102616947,0.23182461307559563,0.39634732492888775,0.7327691340131982,0.3462738793778892,10,274,56,23,1
Str175,680,0.09945483511778606,0.3710051136097912,0.33083569608605506,3.034218688133855,1.7936511541554725,-0.19044143157457302,0.15374763635526326,0.16035270729436746,0.034498748670584334,0.5727889251003293,0.38371376117148903,0.04349731372818162,0.06726189255691627,0.24585655172570722,0.2317764598643332,0.39601775239728104,0.7323321453913073,0.34646238762124737,10,274,56,23,2
Str175,681,0.12654372983569526,0.2242082666237608,0.3139672654485573,3.070856969647914,1.6428578120462896,-0.19483600829541003,0.12944356796620063,0.14389619611068197,0.03125508335644369,0.46650099093372877,0.49368688833042196,0.03981212073584929,0.07694228853832386,0.21661507151596052,0.21231792197469035,0.3821202088894206,0.6109227800779378,0.3241801565758178,8,116,56,10,2
Str175,682,0.12734540049225274,0.22540279016065465,0.31488325818196994,3.071523493041254,1.6422802298096368,-0.19439973654061204,0.12995196780196014,0.14449150812842984,0.03133597522447652,0.4682657900095736,0.49187036964724346,0.03986384034318292,0.07727254940467328,0.21783841043547036,0.2128347580616454,0.3840190698820958,0.6106152156865692,0.3245799760030556,8,116,56,10,1
Str176,683,0.10465117800750418,0.45028945553527205,0.44653567375888714,3.057657462907341,1.9356427323013854,-0.09746003500176435,0.17331379675622183,0.17436051388714005,0.037144584483257796,0.6229485382149895,0.33434360517526174,0.04270785660974877,0.06955977828790443,0.2576842404921512,0.30216428747585444,0.4096387695098542,0.7197676376954726,0.3999266262173526,10,226,137,19,1
Str176,684,0.10724540523587335,0.4537259589309295,0.37070033510677863,3.039705432397761,1.8885389352271322,-0.13429563085186608,0.17864819724168152,0.18202624654231625,0.039404883184721615,0.5957801044999966,0.35327303318941716,0.050946862310586136,0.07325512292317238,0.2718478873530105,0.25501821513781103,0.4114384374017145,0.737933964604549,0.3838810232474093,10,226,137,19,2
Str176,685,0.09134546428304618,0.4508922682161958,0.37616138951237466,3.041931973403114,1.9037628804604014,-0.12127870029685625,0.15207801378706595,0.1525193806982801,0.03492662350634602,0.6583150200071379,0.2958960228172727,0.045788957175589416,0.06229982091618776,0.2578344050240954,0.263041786155015,0.39940572837121036,0.7201837075348071,0.3861761237593556,3,207,137,18,2
Str176,686,0.09206455617945776,0.4667809829847386,0.3717325709515456,3.042543623348171,1.9017751580772668,-0.12705057495025587,0.15661948040477353,0.1576993416227002,0.034675931599621033,0.6601675466107766,0.29458085983461785,0.04525159355460562,0.06324386624593491,0.26921155029566896,0.26006208849650386,0.4029650117194262,0.7255202458343918,0.3830802348168299,3,207,137,18,1
Str177,687,0.07691999509050126,0.6003026877187352,0.48549552979180904,2.8970690123149763,1.5637682275990248,-0.24459948354684835,0.12181942404698645,0.12480294339105046,0.0433100930772212,0.750147183815969,0.22008226501493375,0.029770551169097215,0.05569790537467067,0.3737592508085576,0.3534532984797205,0.4177788002082059,0.8001470212684251,0.32788259732365665,12,60,24,5,1
Str177,688,0.0770368057819925,0.5961304528735074,0.48474766636012495,2.8977753574569785,1.5676169713928203,-0.24346489523457718,0.12213078386382578,0.12508245400333365,0.0431961091495992,0.7485542827146245,0.2215296936708178,0.029916023614557686,0.05575210414271913,0.3711804246606442,0.3520591649691035,0.41722698945444187,0.7989056195545644,0.328468324170881,12,60,24,5,2
Str177,689,0.11826502939514423,0.5032165460534993,0.4648175741486172,2.906971604793781,1.8491225084501606,-0.11377832128725877,0.194827070000541,0.18984566749519471,0.047191400848365164,0.6139086268097453,0.3328364870467097,0.053254886143544955,0.07664785163677673,0.26830242335589194,0.30949706775718583,0.40982819352877997,0.7082716081638024,0.4040167272549083,8,212,24,18,1
Str177,690,0.11775888086925397,0.5024332959694958,0.46299458928528303,2.9073305524212945,1.8468379894247615,-0.11573686496193487,0.19415633156948714,0.18942438534326597,0.04696542421062145,0.6142946224606572,0.3327720082381737,0.05293336930116905,0.0764625782059529,0.2686645636257355,0.30850192742727656,0.4100064205778187,0.7093622464506444,0.4027370346553263,8,212,24,18,2
Str178,691,0.07030255368419931,0.4819684348667824,0.42778863361724817,2.985928051069681,1.438899103611156,-0.3098938487146263,0.10372772036901688,0.11596341731426266,0.034667014511618036,0.7527378315137164,0.2271795223916726,0.020082646094610985,0.05066572399390543,0.39875299743793163,0.3409382468662821,0.40912672943239536,0.8010077542553217,0.27446998069108824,8,44,66,4,1
Str178,692,0.07035249030640402,0.4809836566547363,0.4273180933987996,2.986091744558448,1.4400892524375477,-0.3105598299946241,0.10389218189647823,0.11612443384488098,0.034585480526881894,0.7521882278298336,0.22772800962517847,0.020083762544987904,0.050689136122956405,0.3982432658978722,0.3403919392401837,0.4089745613266832,0.8006177715795485,0.274510663892844,8,44,66,4,2
Str179,693,0.06564928276307791,0.4880644711782243,0.4611125767773008,2.96698796606058,1.261394229991831,-0.3337220017197309,0.08550639753942628,0.10237752682724578,0.03420358163473186,0.8095964964713717,0.17527961217241475,0.015123891356213583,0.047319379941828416,0.4964047627130048,0.3880024844387943,0.4099928957103316,0.7665925880741453,0.251220848996494,5,377,10,32,1
Str179,694,0.06563376496129346,0.48905467276498465,0.4605153717450245,2.966737991764852,1.2654189342374624,-0.33324580758270334,0.08588043431059007,0.1025723226080059,0.03411687019542279,0.8086988805258108,0.1761409398385504,0.01516017963563869,0.04731306614711416,0.49387114651202735,0.38706283048395623,0.409611295997898,0.76782496426338,0.2514153920574151,5,377,10,32,2
Str179,695,0.0726917781491471,0.5578879336885323,0.46221298651832754,2.9458735678263666,1.4651932143448216,-0.2871063715423176,0.11401016071620833,0.12418466652232864,0.037957031730226465,0.7561291108394514,0.22274206704850524,0.02112882211204334,0.053651072852486034,0.41130214219609207,0.36730056717704557,0.4175836043210463,0.8210061224825975,0.2845927884905172,7,343,10,29,1
Str179,696,0.07264970067822761,0.5561597582531221,0.4626675964427639,2.945068053210579,1.4660798932038983,-0.2868508398630844,0.11391961550261326,0.12401233745879572,0.03789680119489059,0.7557330737097849,0.2231525000144516,0.02111442627576346,0.05360301118148394,0.4093983102090512,0.3671992394293496,0.4172355285050081,0.8204621667434052,0.28463303955145713,7,343,10,29,2
Str180,697,0.10523303351226423,0.36266501302397336,0.3371256458584522,3.0814169069787103,1.9222764566017587,-0.12283360219548506,0.16430961153596635,0.16876651830978695,0.03525797280774153,0.5472032882542683,0.4023671471513946,0.05042956459433704,0.07095231831675554,0.223560594032459,0.23561507919553668,0.3888584115100132,0.7143637232699543,0.3791732120533443,5,365,133,31,1
Str180,698,0.10416256721649285,0.35305426613377205,0.3378665047487452,3.0810614185698393,1.9208174338953439,-0.12094091227777343,0.15996527424136328,0.16408087088537227,0.03526027618747368,0.5466825749124462,0.4026647983912586,0.050652626696295215,0.06980996551109746,0.21712605650169353,0.23630962535105085,0.3865415347320833,0.7113370119823347,0.38023137900496523,5,365,133,31,2
Str180,699,0.09089748363119278,0.3692769664389721,0.3361590079099607,3.09260110294123,1.8088042801092163,-0.16846100542375608,0.14080883735414212,0.14873311287310154,0.03612890345194107,0.5916634730903398,0.3628767694454286,0.04545975746423158,0.06278973465588975,0.25920769483780487,0.2327843226772206,0.3903298478118231,0.7411595593398201,0.3548683115619895,9,417,133,35,1
Str180,700,0.09092032909780291,0.3688183925925779,0.336498034430555,3.0929724845400983,1.8090384667363921,-0.16843655385634973,0.14078300528358903,0.14870945190785964,0.03611051993838481,0.5912976884022565,0.3633169826039828,0.04538532899376062,0.06280365298716162,0.2589161192427207,0.23298955766800655,0.39024883656503906,0.7411594061891268,0.3548035080288117,9,417,133,35,2
Str181,701,0.11885136646369966,0.32355418863807656,0.26556625661577843,3.028586841295897,1.7671301455064121,-0.19853070909642215,0.16995343721408898,0.18125315101087067,0.031230063286749855,0.49339549591226994,0.4589852554540882,0.04761924863364186,0.07431160126234834,0.2458362285761703,0.18785984955138102,0.3744496834546932,0.6644630237118349,0.33088784325566944,4,340,223,29,1
Str181,702,0.11889877572870125,0.32256205797781357,0.2655165816951244,3.0294119350386053,1.7677420649287283,-0.1985951191733711,0.16972572942329114,0.1809919514699142,0.031183768535618807,0.4924342764049934,0.4600169239372098,0.04754879965779683,0.07435133628866887,0.24504966744108717,0.1878541335147922,0.3741978049010368,0.6644032580314567,0.3307832627842502,4,340,223,29,2
